bee;nest;treatment;tstartforaging;logtstartforaging;maxminusstarttime;sumfeedingtime;logsumfeedingtime;numberofvisitations;sumdistcovered;meanvisitduration;revisitations;countyellow;countorange;countblue;visitblue;visitorange;visityellow;allcolorsvisited;averagedistance;meanspeed;sumflowersvisited;visitspatchA;visitspatchB;visitspatchC;patchesvisited;allpatchesvisited;visitsperpatchrounded
2016314-07;8;control;4;0.602059991;970;203;2.307496038;86;6766.958152;2.360465116;11;68;16;2;1;1;1;1;90.2261087;8.162077365;20;33;28;25;3;1;29
2016314-08;8;control;8;0.903089987;26;5;0.698970004;4;64.72135955;tammi.25;1;0;1;3;1;1;0;0;32.36067978;4.223656401;3;4;0;0;1;0;1
2016314-09;8;control;77;1.886490725;1340;186;2.269512944;56;2202.243222;3.321428571;25;47;7;2;1;1;1;1;73.40810738;3.397381488;16;13;17;26;3;1;19
2016314-10;8;control;51;1.707570176;490;104;2.017033339;28;1215.958569;3.714285714;6;23;4;1;1;1;1;1;57.90278902;2.998327246;14;6;19;3;3;1;9
2016314-11;8;control;32;1.505149978;1837;194;2.28780173;67;3460.851088;2.895522388;20;59;8;0;0;1;1;0;75.23589322;4.074954907;16;33;22;12;3;1;22
2016315-01;8;control;115;2.06069784;165;26;1.414973348;9;635.0233848;2.888888889;2;6;3;0;0;1;1;0;90.7176264;4.22271168;8;7;0;2;2;0;3
2016315-02;8;control;22;1.342422681;;1;0;1;;1;0;0;1;0;0;1;0;0;;;1;1;0;0;1;0;0
2016315-03;8;control;289;2.460897843;1031;211;2.324282455;65;3041.758213;3.246153846;17;56;8;1;1;1;1;1;64.71825985;4.977163459;20;10;31;24;3;1;22
2016315-04;8;control;10;1;624;117;2.068185862;40;1012.039784;2.925;16;32;5;3;1;1;1;1;44.00172973;2.494737296;17;17;11;12;3;1;13
2016315-05;8;control;39;1.591064607;2321;78;1.892094603;27;1817.257835;2.888888889;4;21;5;1;1;1;1;1;82.60262886;5.322166961;15;9;9;9;3;1;9
2016315-06;8;control;2;0.301029996;1357;63;1.799340549;29;1502.417054;2.172413793;5;25;4;0;0;1;1;0;65.32248062;3.42800251;15;13;12;4;3;1;10
2016315-07;8;control;356;2.551449998;1417;175;2.243038049;49;2604.906391;3.571428571;15;38;9;2;1;1;1;1;78.9365573;3.193288194;18;24;18;7;3;1;16
2016315-08;8;control;220;2.342422681;2994;284;2.45331834;38;3836.793087;7.473684211;14;15;5;18;1;1;1;1;166.8170908;5.201527402;15;18;10;10;3;1;13
2016315-09;8;control;67;1.826074803;343;98;1.991226076;30;1894.942327;3.266666667;4;25;5;0;0;1;1;0;75.7976931;6.358382055;17;10;13;7;3;1;10
2016315-10;8;control;7;0.84509804;1081;182;2.260071388;63;4822.852637;2.888888889;6;46;13;4;1;1;1;1;86.12236852;6.105451351;24;20;24;19;3;1;21
2016315-11;8;control;941;2.973589623;1574;93;1.968482949;38;2608.192617;2.447368421;8;31;7;0;0;1;1;0;89.93767646;4.938411746;15;8;9;21;3;1;13
2016315-12;8;control;354;2.549003262;1471;158;2.198657087;57;2944.049197;2.771929825;16;51;6;0;0;1;1;0;73.60122992;4.756615675;16;26;6;25;3;1;19
2016315-13;8;control;198;2.29666519;669;66;1.819543936;29;2649.208116;2.275862069;4;20;8;1;1;1;1;1;110.3836715;4.51984977;15;5;11;13;3;1;10
2016316-01;8;control;228;2.357934847;1719;294;2.46834733;89;4274.591602;3.303370787;34;75;14;0;0;1;1;0;79.15910373;4.492369684;19;22;30;37;3;1;30
2016316-02;8;control;1085;3.035429738;2796;383;2.583198774;34;2322.403716;11.26470588;14;21;6;7;1;1;1;1;122.2317745;3.969259378;17;18;11;5;3;1;11
2016316-03;8;control;62;1.792391689;1064;109;2.037426498;31;1455.447387;3.516129032;4;27;4;0;0;1;1;0;55.97874566;4.588676771;14;13;14;4;3;1;10
2016316-04;8;control;340;2.531478917;4233;171;2.23299611;43;3256.192479;3.976744186;7;35;6;2;1;1;1;1;93.03407082;3.613175153;14;28;5;10;3;1;14
2016316-05;8;control;314;2.496929648;1429;58;1.763427994;21;1350.395884;2.761904762;3;13;8;0;0;1;1;0;79.43505202;2.362855797;14;7;6;8;3;1;7
2016316-06;8;control;96;1.982271233;3119;161;2.206825876;53;3288.924384;3.037735849;19;45;7;1;1;1;1;1;99.66437526;3.675508302;16;2;24;27;3;1;18
2016316-07;8;control;34;1.531478917;2370;134;2.127104798;59;6092.218604;2.271186441;11;53;4;2;1;1;1;1;126.9212209;8.554801146;17;18;16;25;3;1;20
2016316-08;8;control;34;1.531478917;524;122;2.086359831;44;2657.967183;2.772727273;11;38;4;2;1;1;1;1;83.06147446;7.691248759;17;13;9;22;3;1;15
